ligand,receptor,TF
None,DRD4,LMX1B
None,DRD4,CITED2
None,DRD4,ID1
None,DRD4,FOS
None,DRD4,BTF3
None,DRD4,CRTC1
None,DRD4,PIR
None,DRD4,TP53
None,DRD4,CREB1
None,DRD4,FOXP1
None,DRD4,CREBBP
None,DRD4,MECP2
None,DRD4,ESR1
None,DRD4,XBP1
None,DRD4,EGF
None,DRD4,NFIL3
None,DRD4,FOSB
None,DRD4,PPARGC1A
None,DRD4,ESRRA
None,DRD4,HMGA2
None,DRD4,CDCA7L
None,DRD4,EHMT2
None,DRD4,PAX6
None,DRD4,CDC5L
None,DRD4,TCF4
None,DRD4,EP300
None,DRD4,KLF16
None,DRD4,GTF2I
None,DRD4,OTX2
None,DRD4,FOXP2
None,DRD4,DEAF1
None,DRD4,DNMT1
None,DRD4,OLIG2
None,DRD4,TFAP2A
None,DRD4,REL
None,DRD4,NR4A1
None,DRD4,AR
None,DRD4,PER2
None,DRD4,CTNNB1
None,DRD4,PHOX2A
None,DRD4,MYC
None,DRD4,EGR1
None,DRD4,NPAS2
None,DRD4,CLOCK
None,DRD4,ARNTL
None,DRD4,NR4A2
None,DRD4,HIF1A
None,DRD4,NPAS3
None,DRD4,PPARG
None,DRD4,GATA2
None,FAP,HHEX
None,FAP,SCD5
None,FAP,ESR1
None,FAP,STAT1
None,FAP,REL
None,FAP,PPARG
None,FAP,TRRAP
None,FAP,FOXP3
None,FAP,TP53
None,FAP,EGF
None,FAP,TWIST2
None,FAP,TWIST1
