Receptor,TF,Source
ERBB4,MDM2,CellCall
ERBB4,MYB,CellCall
ERBB4,NFKB1,CellCall
ERBB4,RBL2,CellCall
ERBB4,RELA,CellCall
ERBB4,RXRA,CellCall
ERBB4,TP53,CellCall
ERBB4,CREB5,CellCall
ERBB4,CREB3,CellCall
ERBB4,CREB3L2,CellCall
ERBB4,CREB3L3,CellCall
ERBB4,CREB3L1,CellCall
ERBB4,CREB3L4,CellCall
EPOR,MYC,CellCall
EPOR,STAT2,CellCall
EPOR,STAT4,CellCall
EPOR,STAT6,CellCall
EPOR,IRF9,CellCall
FGFR1,ATF4,CellCall
FGFR1,BRCA1,CellCall
FGFR1,CREB1,CellCall
FGFR1,ATF2,CellCall
FGFR1,ATF6B,CellCall
FGFR1,CTNNB1,CellCall
FGFR1,ETS1,CellCall
FGFR1,FOXO1,CellCall
FGFR1,FOXO3,CellCall
FGFR1,FOS,CellCall
FGFR1,NR4A1,CellCall
FGFR1,IKBKB,CellCall
FGFR1,JUN,CellCall
FGFR1,MDM2,CellCall
FGFR1,MYB,CellCall
FGFR1,MYC,CellCall
FGFR1,NFKB1,CellCall
FGFR1,NFKB2,CellCall
FGFR1,NFKBIA,CellCall
FGFR1,RBL2,CellCall
FGFR1,RELA,CellCall
FGFR1,RXRA,CellCall
FGFR1,TCF7,CellCall
FGFR1,TCF7L2,CellCall
FGFR1,TP53,CellCall
FGFR1,TRAF6,CellCall
FGFR1,CREB5,CellCall
FGFR1,CREB3,CellCall
FGFR1,LEF1,CellCall
FGFR1,CREB3L2,CellCall
FGFR1,TCF7L1,CellCall
FGFR1,CREB3L3,CellCall
FGFR1,CREB3L1,CellCall
FGFR1,CREB3L4,CellCall
FGFR3,ATF4,CellCall
FGFR3,BRCA1,CellCall
FGFR3,CREB1,CellCall
FGFR3,ATF2,CellCall
FGFR3,ATF6B,CellCall
FGFR3,CTNNB1,CellCall
FGFR3,ETS1,CellCall
FGFR3,FOXO1,CellCall
FGFR3,FOXO3,CellCall
FGFR3,FOS,CellCall
FGFR3,NR4A1,CellCall
FGFR3,IKBKB,CellCall
FGFR3,JUN,CellCall
FGFR3,MDM2,CellCall
FGFR3,MYB,CellCall
FGFR3,MYC,CellCall
FGFR3,NFKB1,CellCall
FGFR3,NFKB2,CellCall
FGFR3,NFKBIA,CellCall
FGFR3,RBL2,CellCall
FGFR3,RELA,CellCall
FGFR3,RXRA,CellCall
FGFR3,TCF7,CellCall
FGFR3,TCF7L2,CellCall
FGFR3,TP53,CellCall
FGFR3,TRAF6,CellCall
FGFR3,CREB5,CellCall
FGFR3,CREB3,CellCall
FGFR3,LEF1,CellCall
FGFR3,CREB3L2,CellCall
FGFR3,TCF7L1,CellCall
FGFR3,CREB3L3,CellCall
FGFR3,CREB3L1,CellCall
FGFR3,CREB3L4,CellCall
FGFR2,ATF4,CellCall
FGFR2,BRCA1,CellCall
FGFR2,CREB1,CellCall
FGFR2,ATF2,CellCall
FGFR2,ATF6B,CellCall
FGFR2,CTNNB1,CellCall
FGFR2,ETS1,CellCall
FGFR2,FOXO1,CellCall
FGFR2,FOXO3,CellCall
FGFR2,FOS,CellCall
FGFR2,NR4A1,CellCall
FGFR2,IKBKB,CellCall
FGFR2,JUN,CellCall
FGFR2,MDM2,CellCall
FGFR2,MYB,CellCall
FGFR2,MYC,CellCall
FGFR2,NFKB1,CellCall
FGFR2,NFKB2,CellCall
FGFR2,NFKBIA,CellCall
FGFR2,RBL2,CellCall
FGFR2,RELA,CellCall
FGFR2,RXRA,CellCall
FGFR2,TCF7,CellCall
